text,real_label,pred_label,percentage
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,positive,0.5106
"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral,neutral,0.72
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,negative,0.4756
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,positive,0.7929
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,positive,0.9465
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive,positive,0.9849
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,negative,0.7575
im an avid fan of **** magazine and i love your magazines,positive,positive,0.9791
MAYDAY?!,neutral,neutral,0.823
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,positive,0.5509
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive,positive,0.9561
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,neutral,0.555
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,negative,0.9451
:visiting my friendster and facebook,neutral,neutral,0.7937
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative,negative,0.8915
 which case? I got a new one last week and I`m not thrilled at all with mine.,negative,negative,0.8867
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,negative,0.8275
" also bored at school, its my third freelesson( freistunde )",neutral,negative,0.6438
 hm... Both of us I guess...,neutral,neutral,0.8281
 it is ****...u have dissappointed me that past few days,negative,negative,0.9574
 romance zero is funny,positive,positive,0.5174
 I`d rather do the early run..but I am a morning runner,neutral,neutral,0.7254
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative,negative,0.9263
will be back later.  http://plurk.com/p/rp3k7,neutral,neutral,0.8096
Aw. Torn ace of hearts  #Hunchback,negative,negative,0.4982
 what fun are you speaking of?,neutral,neutral,0.6241
"i lost all my friends, i`m alone and sleepy..i wanna go home",negative,negative,0.905
 haha yes,neutral,positive,0.7828
I give in to easily,negative,negative,0.7099
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive,positive,0.7661
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative,negative,0.5928
Is at a photoshoot.,neutral,neutral,0.8315
  He`s awesome... Have you worked with him before? He`s a good friend.,positive,positive,0.9821
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,positive,0.7046
Chilliin,positive,neutral,0.6566
" If you know such agent, do let me know",neutral,neutral,0.8879
I still smell of smoke  #kitchenfire,neutral,negative,0.6928
 a celtics-lakers rematch sounds better don`t you think? lol,positive,positive,0.7328
"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,positive,0.7533
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,neutral,0.6815
 she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,positive,0.8881
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,neutral,0.8745
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative,negative,0.8747
 My sources say no,neutral,neutral,0.602
I am sooo tired,negative,negative,0.9549
" Hey, you change your twitter account, and you didn`t even tell me...",neutral,neutral,0.499
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,positive,0.9728
 lucky kid...i so wanna see loserville  pity im in oz....,positive,positive,0.7651
fell asleep waiting for my ride!,neutral,neutral,0.6267
Sick. With a flu like thing.,negative,negative,0.9234
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,negative,0.7897
Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,positive,0.9863
 Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral,positive,0.4935
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,negative,0.8013
i miss you bby      wish you were going tomorrow to make me do good.,negative,positive,0.8663
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive,positive,0.7884
 SWEEEEET - San Fran is awesome!!!!  Love it there,positive,positive,0.993
_Mounce yes and it lasts way past my bedtime!,neutral,positive,0.8411
 Hi  how are you doing ???  *just joined twitter...*,neutral,neutral,0.7464
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative,negative,0.7262
eating ice cream and then getting ready for graduation.,neutral,neutral,0.6804
Happy Mothers day to all you Mums out there,positive,positive,0.9788
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative,negative,0.6081
 hemp cloth is marvelous but unfortunately no,negative,negative,0.5083
Gonna read a story bout adam lambert online then bed. Nighty night,neutral,neutral,0.7752
 We saw that in none 3D - the baddie`s the best,positive,positive,0.8807
4am. And Im on the beach. Pretty,positive,positive,0.8652
" Certainly not Cheers than, huh?",neutral,neutral,0.4855
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,negative,0.8952
i realy wanted to go out cause its so nice but everybodys busy,negative,positive,0.8804
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive,positive,0.9815
at least I get to watch over time  Let`s go Pens!!,neutral,positive,0.8278
 cool i wear black most of the time when i go out,neutral,positive,0.8006
 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive,positive,0.6672
 have a safe trip joshy poo.......you`ll knock them dead at your speech,positive,neutral,0.4213
" woof, I wish I was allowed to go",positive,neutral,0.4775
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral,neutral,0.6046
  has tickets.......?,neutral,neutral,0.7916
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,positive,0.9797
 ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,neutral,0.5368
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,positive,0.9866
So many tests todayyy  I don`t feel confident about anyy.,negative,negative,0.8266
graduation is done  im a little sad.. anyone want to hang out???,negative,negative,0.5122
 hahaa your awesomee !,positive,positive,0.9805
holy smokes! star trek was freaking awesomeeeee,positive,positive,0.9866
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,negative,0.9363
" I had it! On my itunes, but then I lost all my songs.",neutral,negative,0.5017
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,negative,0.4999
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative,negative,0.8867
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,positive,0.6897
not well,negative,negative,0.8408
 Not a prob hun,positive,neutral,0.741
"at dads, watching some mtv and am going on sims2 in a minutee",neutral,neutral,0.5827
 Absolutely,neutral,positive,0.4707
 what`s the matter chickadee?,neutral,neutral,0.7469
 hey mia!  totally adore your music.  when will your cd be out?,positive,positive,0.9899
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,positive,0.9235
 =O you need to ask him something? Lmao I love him too,positive,positive,0.96
 those splinters look very painful...but you were being very heroic saving mr. Pickle,negative,neutral,0.484
 why are you sad?,negative,negative,0.7627
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive,positive,0.9891
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,neutral,0.4955
 Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,neutral,0.7362
" Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,positive,0.7199
Humous and Dorito`s.... Oh yes,neutral,positive,0.826
"missed all the awesome weather, because she was in a movie!",negative,positive,0.4104
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,positive,0.5569
"These kids are terrible! If I was in Good Evans, I`d call Childline",negative,negative,0.9595
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,negative,0.6669
" What`s sad is that I actually had to google that term. That sucks, tho.",negative,negative,0.95
Hate fighting,negative,negative,0.9093
" I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral,positive,0.7712
Car-warmed Sprite tastes like sore throat,negative,negative,0.9378
Just came 11th in cross country and beat dumbo,neutral,neutral,0.6171
Candle wax is very enjoyable.,positive,positive,0.9841
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive,positive,0.8902
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,neutral,0.6874
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive,positive,0.947
 me too. I hate my computer so much..,negative,negative,0.9724
 fine! Going to do my big walk today 20 or so miles,positive,positive,0.8011
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative,negative,0.516
Mmmmmmmm... ? it in the morning,neutral,neutral,0.8896
 me neither,neutral,neutral,0.4678
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral,neutral,0.5421
Bugger. forgot I still have washing in my machine,negative,negative,0.6929
"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive,positive,0.9008
My back hurts...really bad,negative,negative,0.9558
" ah yes, I know that feeling",neutral,neutral,0.5378
Night of the cookers with my dad,neutral,neutral,0.8334
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative,negative,0.4101
 Nope I am in Coquitlam,neutral,neutral,0.7642
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative,negative,0.835
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive,positive,0.9882
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,neutral,0.4748
Few Bevvies 2day in twn..great on a day off!!,positive,positive,0.9611
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive,positive,0.984
 good morning,positive,positive,0.8143
 its the best show EVER!,positive,positive,0.9919
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,negative,0.4833
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,negative,0.8322
 I want to know when the auditions are Mander! Text or...reply please!,neutral,neutral,0.8378
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative,negative,0.7834
 I miss my neice  can`t wait to see her bad n grown ****! Lol,negative,positive,0.5129
i need to get my computer fixed,neutral,negative,0.8242
really hopes her car`s illness is not terminal...,negative,neutral,0.6282
"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,positive,0.8505
 no sir...i woulda put honey...but i don`t have any,neutral,neutral,0.5145
who watched X-men origins: wolverine? i totally loved it! haha,positive,positive,0.9891
 I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,positive,0.7831
 I`m sad that I missed you guys last night!,negative,negative,0.8429
Finally got a call for marriage counseling 3 days late....,neutral,neutral,0.5845
 ok then,neutral,neutral,0.5146
_420 why baby?,neutral,neutral,0.7152
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative,negative,0.9684
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,negative,0.5662
lost my tooth 2day whilst i was eating gum...oww,negative,negative,0.8891
happy 1 year! <3,positive,positive,0.982
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,positive,0.8944
 *phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral,neutral,0.7021
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,neutral,0.4616
I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,negative,0.961
 i talk to you,neutral,neutral,0.7354
im soo bored...im deffo missing my music channels,negative,negative,0.9346
 nite nite bday girl  have fun at concert,positive,positive,0.9762
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,positive,0.6868
_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,negative,0.8813
should be sleeping.  lost my voice a couple day ago.,negative,negative,0.7632
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative,negative,0.9719
 I`ve heard this fall. I`m waiting too!,neutral,positive,0.6333
 more nightmares?  *huggles*,neutral,neutral,0.6005
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative,negative,0.949
going to bed its late and I have headache,negative,negative,0.8856
happy mother`s day to all moms out there...,positive,positive,0.9795
Grabbing coffee from  then making mom breakfast,neutral,neutral,0.7808
im thinking that im going to have fun tonight....and maybe some changes are coming,positive,positive,0.9633
 thanks. before the major chop.,neutral,neutral,0.7041
" Haha I know, I cant handle the fame!  and thank you!",positive,positive,0.7351
just got up and updated my ipod,neutral,positive,0.57
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive,positive,0.6074
 We never miss ICarly - my son has a huge crush on Miranda,positive,positive,0.9014
Saw James carville in the store today. His head is really that bald,neutral,negative,0.6437
yellow for   ? http://blip.fm/~5z05g,neutral,neutral,0.8811
 which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,positive,0.4999
Feeling smooth like chrome,positive,positive,0.6951
Ew traffic,negative,negative,0.7914
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,neutral,0.5621
@_Ra_Ra_ your not alone...i need coffee too.,neutral,neutral,0.6874
 Sounds like me,neutral,neutral,0.653
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,positive,0.6512
Walking to class. I hate not having a bike....especially mine.,negative,negative,0.8772
_nesmith,neutral,neutral,0.6947
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,negative,0.914
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,positive,0.9909
happy mother`s day to all the mothers in the world.,positive,positive,0.9818
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive,positive,0.9862
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive,positive,0.9208
The exception for a short dude: Larenz fineass Tate yum,neutral,positive,0.6898
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive,negative,0.4103
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive,positive,0.5929
 Yes i work 6 to 3...,neutral,neutral,0.7683
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral,neutral,0.5809
Done at the spa   now meeting vic for some late lunch!,neutral,positive,0.5152
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,positive,0.9906
 Always have wanted to go to Oz,neutral,positive,0.6852
 Thx,neutral,neutral,0.6127
 http://twitpic.com/4jaz5 - Cool... luv it,positive,positive,0.9796
  that`s why I need to be there...To represent the Blackberries,positive,positive,0.5535
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral,positive,0.5919
 If only we could ever actually be allowed to stay here and do that,neutral,neutral,0.5612
 Let me know how that turns out!!,neutral,neutral,0.6068
 was that sass I detect?  As long as it isn`t back sass! Haha,neutral,neutral,0.5616
" yeah I was thinking about that ,ahaha",positive,neutral,0.6985
 Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral,neutral,0.5741
I`m not sleeping at all until  accepts my appology,negative,neutral,0.5312
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative,negative,0.5938
" I live for pain, bring it on",neutral,negative,0.6629
"okay, i`m out for a while  back later!",neutral,neutral,0.6371
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral,neutral,0.7473
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive,negative,0.8491
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral,neutral,0.7607
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative,negative,0.6618
going to shower because i don`t want to smell at school tomorrow,neutral,negative,0.67
 Sigh... you know I am...,neutral,neutral,0.4972
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive,neutral,0.5626
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral,neutral,0.5184
just got home from work.... and is chugging down a big bottle of apple juice.,neutral,positive,0.7511
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative,negative,0.9668
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive,positive,0.975
 it was only once for my big brother...and I`m done now,neutral,neutral,0.617
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral,neutral,0.429
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,positive,0.9892
FTSK and Mercy Mercedes were amazing tonight.. as always,positive,positive,0.9824
  hope he is ok!,positive,positive,0.804
can`t school just be done already? it hurts too much... seeing him every day,positive,negative,0.9542
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral,negative,0.5275
 Hell Yeah!,neutral,positive,0.8036
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral,neutral,0.8383
 i know!!,neutral,positive,0.5801
 huh what the ****? Smelly? Noooo. I love alex Vixon,neutral,positive,0.3747
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive,positive,0.9767
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive,positive,0.978
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive,positive,0.9911
HAPPY MOTHERS DAY.!,positive,positive,0.982
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive,positive,0.9849
  Thanks,positive,positive,0.6587
twittering after 2 days!,neutral,neutral,0.7283
Getting ready for week  Its too nice today to be stuck inside working!,positive,positive,0.8021
I am tres depressed,negative,negative,0.9161
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative,negative,0.9595
Happy Mothers Day people. i love my mom a lot still,positive,positive,0.9917
 I`m sorry to hear that.,negative,negative,0.6067
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive,positive,0.9917
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive,positive,0.9303
Is getting the hang of Twitter.,neutral,neutral,0.6593
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,negative,0.7949
I want it BACK NOW!: http://bit.ly/PP1WZ,neutral,positive,0.4913
Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative,negative,0.7599
"bathing with two little angels, Keyla and Janice.",neutral,positive,0.5861
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative,neutral,0.4267
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral,positive,0.5661
"Family is here,hanging with them",neutral,positive,0.5511
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive,positive,0.9828
 what`s goin on hun?  I`m worried about you,negative,negative,0.6336
 Im not bannished... but I am at work till 6,negative,neutral,0.7654
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral,positive,0.5147
" red top tabloids, build em up, knock em down",neutral,neutral,0.6705
tonight in party w/ my girls (minus vita),positive,neutral,0.5753
  why not now you made me sad I thought you`d be jumping for joy,neutral,negative,0.6126
 Simple my a#@,neutral,negative,0.7082
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral,positive,0.8486
" I saw the play of it here, it was amazing",positive,positive,0.9732
 _ i am glad to break my twitter virginity with you two.,positive,positive,0.9595
Dinner with the fam... I have missed them,negative,neutral,0.5079
"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",neutral,positive,0.7905
Hell yeah Kellynn got a Twitter. Finally.,neutral,positive,0.8076
" I know   It was worth a shot, though!",positive,positive,0.8168
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive,neutral,0.4342
Ship. I`m stuck.,negative,negative,0.686
DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive,positive,0.9702
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",negative,neutral,0.471
It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,neutral,negative,0.5344
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,neutral,positive,0.5672
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative,negative,0.8355
today is a busy day. exhausting!,negative,negative,0.5764
" I was going to go on Sunday, but now I`ve got too much going on that weekend",neutral,negative,0.4883
 Sorry to hear ur flight got cancelled  that blows!!!,negative,negative,0.9343
ohh my tooth is hurts ohh  im sad it very hurts,negative,negative,0.9651
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive,positive,0.9559
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative,negative,0.5024
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,neutral,positive,0.9627
sore throat. Planning the TET outing to Marwell though...good times,neutral,positive,0.652
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive,positive,0.9736
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative,negative,0.6411
 There!,neutral,positive,0.5835
?sucks!?..,negative,negative,0.9453
 whens the sway sway winner announced?,neutral,neutral,0.9293
 K will check it out...,neutral,neutral,0.776
" doing pretty well, up and wide awake",positive,positive,0.9592
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral,positive,0.7148
I Miss Daddy and Mommy,negative,negative,0.617
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative,negative,0.9374
I just realized that I can`t forward text msgs with my iPhone.,neutral,negative,0.7756
"My frist post... Off to find a new car for my parents, exciting!",positive,positive,0.9718
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative,negative,0.9763
seriously bored without anyone to talk to... but not tired enough for sleep,negative,negative,0.8825
 I am lost. Please help me find a good home.,negative,neutral,0.4965
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",neutral,negative,0.5441
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative,negative,0.8112
 LMAO... Smh!  that one threw me off.,neutral,negative,0.862
 oh nice going!,positive,positive,0.9597
Is getting ready for work... Working all weekend,neutral,neutral,0.8358
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive,positive,0.9303
 i agree with you!,positive,positive,0.9133
 I only do computers. Am hopeless at everything else,negative,negative,0.7354
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",positive,positive,0.8606
_2nd aww thanks!,positive,positive,0.8921
 Sorry RB is on PS3 for me,negative,neutral,0.6262
I saw amazing heeels. But they were too big,neutral,positive,0.7034
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative,negative,0.8325
dang last url went down  ? http://blip.fm/~7aigm,negative,negative,0.7193
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",negative,negative,0.7332
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative,negative,0.9106
 my boss. She`s moving to NYC,neutral,neutral,0.7282
this is sooo crazy i have fever..,negative,negative,0.8774
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,negative,negative,0.926
